engine,BPR,OPR,year,mode_pct,thrust_kN,fuel_kg_s,TSFC
CFM56-5B1/2P,5.7,30.5,1996.0,1.0,133.5,1.32,0.03559550561797753
CFM56-5B1/3,5.5,30.2,2005.0,1.0,133.4,1.318,0.03556821589205397
CFM56-5B1/P,5.7,30.47,1995.0,1.0,133.45,1.295,0.03493443237167478
CFM56-5B2,5.6,31.3,1992.0,1.0,137.9,1.426,0.03722697606961566
CFM56-5B2/2,5.7,31.2,1994.0,1.0,137.9,1.406,0.03670485859318346
CFM56-5B2/2P,5.6,31.6,1996.0,1.0,137.9,1.39,0.03628716461203771
CFM56-5B2/3,5.5,31.3,2005.0,1.0,137.9,1.385,0.03615663524292966
CFM56-5B2/P,5.6,31.57,1995.0,1.0,137.9,1.361,0.035530094271211024
CFM56-5B3/2P,5.6,32.8,1996.0,1.0,142.4,1.47,0.03716292134831461
CFM56-5B3/3,5.4,32.6,2005.0,1.0,142.3,1.462,0.036986647926914966
CFM56-5B3/P,5.6,32.78,1995.0,1.0,142.35,1.43,0.03616438356164384
CFM56-5B4,5.9,27.1,1992.0,1.0,117.9,1.166,0.0356030534351145
CFM56-5B4/2,5.7,27.1,1994.0,1.0,117.9,1.18,0.03603053435114504
CFM56-5B4/2P,5.9,27.7,1996.0,1.0,120.1,1.14,0.03417152373022481
CFM56-5B4/3,5.7,27.3,2005.0,1.0,120.1,1.142,0.034231473771856785
CFM56-5B4/P,5.9,27.69,1995.0,1.0,120.11,1.132,0.03392889850969944
CFM56-5B5/3,6.0,23.1,2005.0,1.0,97.9,0.894,0.03287436159346272
CFM56-5B5/P,5.9,23.33,1995.0,1.0,97.89,0.891,0.03276739197057922
CFM56-5B6/2,5.7,24.8,1995.0,1.0,104.5,0.998,0.034380861244019144
CFM56-5B6/2P,6.0,24.6,1996.0,1.0,104.5,0.97,0.03341626794258373
CFM56-5B6/3,5.9,24.3,2005.0,1.0,104.5,0.965,0.03324401913875598
CFM56-5B6/P,6.0,24.64,1995.0,1.0,104.53,0.961,0.03309671864536497
CFM56-5B7/3,5.7,27.3,2005.0,1.0,120.1,1.142,0.034231473771856785
CFM56-5B7/P,5.9,27.69,1995.0,1.0,120.11,1.132,0.03392889850969944
CFM56-5B8/3,6.0,22.7,2005.0,1.0,96.1,0.875,0.032778355879292405
CFM56-5B8/P,5.9,22.6,1995.0,1.0,94.7,0.875,0.03326293558606125
CFM56-5B9/2P,5.9,24.4,1996.0,1.0,102.2,0.961,0.033851272015655576
CFM56-5B9/3,5.9,24.2,2005.0,1.0,103.6,0.956,0.03322007722007722
CFM56-5B9/P,5.9,24.0,1995.0,1.0,102.2,0.954,0.03360469667318982
CFM56-5C2,6.8,28.8,1991.0,1.0,138.78,1.308,0.033929961089494164
CFM56-5C2/P,6.8,28.2,1991.0,1.0,137.61,1.252,0.03275343361674297
CFM56-5C3,6.7,29.9,1991.0,1.0,144.57,1.373,0.03418966590578958
CFM56-5C3/P,6.7,29.2,1991.0,1.0,143.33,1.316,0.03305379194864997
CFM56-5C4,6.6,31.15,1991.0,1.0,151.25,1.456,0.03465520661157025
CFM56-5C4/P,6.6,30.5,1991.0,1.0,149.9,1.395,0.03350233488992662
CFM56-5B1/3,5.5,30.2,2005.0,1.0,133.4,1.318,0.03556821589205397
CFM56-5B2/3,5.5,31.3,2005.0,1.0,137.9,1.385,0.03615663524292966
CFM56-5B3/3,5.4,32.6,2005.0,1.0,142.3,1.462,0.036986647926914966
CFM56-5B4/3,5.7,27.3,2005.0,1.0,120.1,1.142,0.034231473771856785
CFM56-5B5/3,6.0,23.1,2005.0,1.0,97.9,0.894,0.03287436159346272
CFM56-5B6/3,5.9,24.3,2005.0,1.0,104.5,0.965,0.03324401913875598
CFM56-5B7/3,5.7,27.3,2005.0,1.0,120.1,1.142,0.034231473771856785
CFM56-5B8/3,6.0,22.7,2005.0,1.0,96.1,0.875,0.032778355879292405
CFM56-5B9/3,5.9,24.2,2005.0,1.0,103.6,0.956,0.03322007722007722
CFM56-7B18,5.5,21.59,1996.0,1.0,86.74,0.854,0.03544385519944662
CFM56-7B18/3,5.5,21.4,2005.0,1.0,86.7,0.842,0.03496193771626297
CFM56-7B20,5.4,22.61,1996.0,1.0,91.63,0.913,0.03587034813925571
CFM56-7B20/2,5.4,22.77,1997.0,1.0,91.63,0.903,0.03547746371275783
CFM56-7B20/3,5.5,22.4,2005.0,1.0,91.6,0.896,0.035213973799126635
CFM56-7B20E,5.5,22.4,2005.0,1.0,91.6,0.896,0.035213973799126635
CFM56-7B22,5.3,24.41,1996.0,1.0,100.97,1.021,0.036402891948103394
CFM56-7B22/2,5.3,24.61,1997.0,1.0,100.97,1.008,0.03593938793701099
CFM56-7B22/3,5.3,24.2,2005.0,1.0,101.0,1.004,0.03578613861386139
CFM56-7B22E,5.3,24.2,2005.0,1.0,101.0,1.004,0.03578613861386139
CFM56-7B22E/B1,5.3,24.2,2005.0,1.0,101.0,1.004,0.03578613861386139
CFM56-7B24,5.2,25.78,1996.0,1.0,107.65,1.103,0.036886205294937295
CFM56-7B24/2,5.2,25.95,1997.0,1.0,107.65,1.089,0.036418021365536464
CFM56-7B24/3,5.3,25.6,2005.0,1.0,107.6,1.086,0.036334572490706325
CFM56-7B24E,5.3,25.6,2005.0,1.0,107.6,1.086,0.036334572490706325
CFM56-7B24E/B1,5.3,25.6,2005.0,1.0,107.6,1.086,0.036334572490706325
CFM56-7B26,5.1,27.61,1996.0,1.0,116.99,1.221,0.037572442089067445
CFM56-7B26,5.1,27.61,1996.0,1.0,116.99,1.221,0.037572442089067445
CFM56-7B26/2,5.1,27.8,1997.0,1.0,116.99,1.203,0.037018548593896916
CFM56-7B26/3,5.1,27.7,2005.0,1.0,117.0,1.213,0.037323076923076924
CFM56-7B26/3 (Research Measurement),5.1,27.7,2013.0,1.0,117.0,1.213,0.037323076923076924
CFM56-7B26E,5.1,27.7,2005.0,1.0,117.0,1.213,0.037323076923076924
CFM56-7B26E/B1,5.1,27.7,2005.0,1.0,117.0,1.213,0.037323076923076924
CFM56-7B26E/B2,5.1,27.7,2005.0,1.0,117.0,1.213,0.037323076923076924
CFM56-7B26E/B2F,5.1,27.7,2005.0,1.0,117.0,1.213,0.037323076923076924
CFM56-7B26E/F,5.1,27.7,2005.0,1.0,117.0,1.213,0.037323076923076924
CFM56-7B27,5.0,28.63,1996.0,1.0,121.44,1.284,0.038063241106719374
CFM56-7B27/2,5.0,28.84,1997.0,1.0,121.44,1.265,0.0375
CFM56-7B27/3,5.1,29.0,2005.0,1.0,121.4,1.293,0.038342668863261944
CFM56-7B27AE,5.1,29.0,2005.0,1.0,121.4,1.293,0.038342668863261944
CFM56-7B27E,5.1,29.0,2005.0,1.0,121.4,1.293,0.038342668863261944
CFM56-7B27E/B1,5.1,29.0,2005.0,1.0,121.4,1.293,0.038342668863261944
CFM56-7B27E/B1F,5.1,29.0,2005.0,1.0,121.4,1.293,0.038342668863261944
CFM56-7B27E/B3,5.1,29.0,2005.0,1.0,121.4,1.293,0.038342668863261944
CFM56-7B27E/F,5.1,29.0,2005.0,1.0,121.4,1.293,0.038342668863261944
CFM56-7B20E,5.5,22.4,2005.0,1.0,91.6,0.896,0.035213973799126635
CFM56-7B22E,5.3,24.2,2005.0,1.0,101.0,1.004,0.03578613861386139
CFM56-7B22E/B1,5.3,24.2,2005.0,1.0,101.0,1.004,0.03578613861386139
CFM56-7B24E,5.3,25.6,2005.0,1.0,107.6,1.086,0.036334572490706325
CFM56-7B24E/B1,5.3,25.6,2005.0,1.0,107.6,1.086,0.036334572490706325
CFM56-7B26E,5.1,27.7,2005.0,1.0,117.0,1.213,0.037323076923076924
CFM56-7B26E/B1,5.1,27.7,2005.0,1.0,117.0,1.213,0.037323076923076924
CFM56-7B26E/B2,5.1,27.7,2005.0,1.0,117.0,1.213,0.037323076923076924
